Main;Middle;Name;Address;DatapointType;Description
15;00_System Info;Dachs Fabr.-Nr. [Hka_Bd_Stat.uchSeriennummer];15/0/1;DPST-16-1;key=Hka_Bd_Stat.uchSeriennummer block=20 write=False read=True cyc=0
15;00_System Info;Dachs Teile-Nr. [Hka_Bd_Stat.uchTeilenummer];15/0/2;DPST-16-1;key=Hka_Bd_Stat.uchTeilenummer block=20 write=False read=True cyc=0
15;00_System Info;Inbetriebnahmedatum [Hka_Bd_Stat.ulInbetriebnahmedatum];15/0/3;DPST-11-1;key=Hka_Bd_Stat.ulInbetriebnahmedatum block=20 write=False read=True cyc=0
15;00_Laufzeit Energie;Bh (Betriebsstunden) [Hka_Bd.ulBetriebssekunden];15/0/17;DPST-12-1;key=Hka_Bd.ulBetriebssekunden block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Starts [Hka_Bd.ulAnzahlStarts];15/0/18;DPST-12-1;key=Hka_Bd.ulAnzahlStarts block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Erzeugte el. Arbeit [Hka_Bd.ulArbeitElektr];15/0/19;DPST-12-1;key=Hka_Bd.ulArbeitElektr block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Erzeugte thermische Arbeit (Dachs) [Hka_Bd.ulArbeitThermHka];15/0/20;DPST-12-1;key=Hka_Bd.ulArbeitThermHka block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Erzeugte thermische Arbeit (Kondenser) [Hka_Bd.ulArbeitThermKon];15/0/21;DPST-12-1;key=Hka_Bd.ulArbeitThermKon block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Hka_Bd.bCodeStatusAnzeige1;15/0/22;DPST-5-1;key=Hka_Bd.bCodeStatusAnzeige1 block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Hka_Bd.bCodeStatusAnzeige2;15/0/23;DPST-5-1;key=Hka_Bd.bCodeStatusAnzeige2 block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Warncode [Hka_Bd.bWarnung];15/0/24;DPST-5-1;key=Hka_Bd.bWarnung block=22 write=True read=True cyc=3600
15;00_Laufzeit Energie;Servicecode [Hka_Bd.bStoerung];15/0/25;DPST-5-1;key=Hka_Bd.bStoerung block=22 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Motorstatus [Hka_Mw1.bMotorStatus];15/0/26;DPST-5-1;key=Hka_Mw1.bMotorStatus block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Motordrehzahl [Hka_Mw1.usDrehzahl];15/0/27;DPST-7-1;key=Hka_Mw1.usDrehzahl block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;el. Generatorleistung [Hka_Mw1.sWirkleistung];15/0/28;DPST-8-1;key=Hka_Mw1.sWirkleistung block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Kühlwasser Motor [Hka_Mw1.Temp.sbMotor];15/0/29;DPST-9-1;key=Hka_Mw1.Temp.sbMotor block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Dachs Eintritt [Hka_Mw1.Temp.sbGen];15/0/30;DPST-9-1;key=Hka_Mw1.Temp.sbGen block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Motorabgastemperatur [Hka_Mw1.Temp.sAbgasMotor];15/0/31;DPST-9-1;key=Hka_Mw1.Temp.sAbgasMotor block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Dachs-Abgastemperatur [Hka_Mw1.Temp.sAbgasHKA];15/0/32;DPST-9-1;key=Hka_Mw1.Temp.sAbgasHKA block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Kapseltemperatur / Abgastemp. Kondenser [Hka_Mw1.Temp.sKapsel];15/0/33;DPST-9-1;key=Hka_Mw1.Temp.sKapsel block=24 write=True read=True cyc=3600
15;00_Motor/Temperaturen;Temperaturfühler MSR2 [Hka_Mw1.Temp.sbRegler];15/0/34;DPST-9-1;key=Hka_Mw1.Temp.sbRegler block=24 write=True read=True cyc=3600
15;00_System Info;Überwachungssoftware [Hka_Bd_Stat.bSoftwareVersionUeberw];15/0/4;DPST-16-1;key=Hka_Bd_Stat.bSoftwareVersionUeberw block=20 write=False read=True cyc=0
15;00_System Info;Messwertesoftware [Hka_Bd_Stat.bSoftwareVersionMessen];15/0/8;DPST-16-1;key=Hka_Bd_Stat.bSoftwareVersionMessen block=20 write=False read=True cyc=0
15;00_System Info;Reglersoftware (Version MSR Regler) [Hka_Bd_Stat.bSoftwareVersionRegler];15/0/12;DPST-16-1;key=Hka_Bd_Stat.bSoftwareVersionRegler block=20 write=False read=True cyc=0
