"Main";"Middle";"Sub";"Address"
"Dachs Main 15";"";"";"15/-/-"
"";"Blockgruppe 0";"";"15/0/-"
"";"";"Dachs Fabr.-Nr. [Hka_Bd_Stat.uchSeriennummer]";"15/0/1"
"";"";"Dachs Teile-Nr. [Hka_Bd_Stat.uchTeilenummer]";"15/0/2"
"";"";"Inbetriebnahmedatum [Hka_Bd_Stat.ulInbetriebnahmedatum]";"15/0/3"
"";"";"Überwachungssoftware [Hka_Bd_Stat.bSoftwareVersionUeberw]";"15/0/4"
"";"";"Messwertesoftware [Hka_Bd_Stat.bSoftwareVersionMessen]";"15/0/8"
"";"";"Reglersoftware (Version MSR Regler) [Hka_Bd_Stat.bSoftwareVersionRegler]";"15/0/12"
"";"";"Bh (Betriebsstunden) [Hka_Bd.ulBetriebssekunden]";"15/0/17"
"";"";"Starts [Hka_Bd.ulAnzahlStarts]";"15/0/18"
"";"";"Erzeugte el. Arbeit [Hka_Bd.ulArbeitElektr]";"15/0/19"
"";"";"Erzeugte thermische Arbeit (Dachs) [Hka_Bd.ulArbeitThermHka]";"15/0/20"
"";"";"Erzeugte thermische Arbeit (Kondenser) [Hka_Bd.ulArbeitThermKon]";"15/0/21"
"";"";"Hka_Bd.bCodeStatusAnzeige1";"15/0/22"
"";"";"Hka_Bd.bCodeStatusAnzeige2";"15/0/23"
"";"";"Warncode [Hka_Bd.bWarnung]";"15/0/24"
"";"";"Servicecode [Hka_Bd.bStoerung]";"15/0/25"
"";"";"Motorstatus [Hka_Mw1.bMotorStatus]";"15/0/26"
"";"";"Motordrehzahl [Hka_Mw1.usDrehzahl]";"15/0/27"
"";"";"el. Generatorleistung [Hka_Mw1.sWirkleistung]";"15/0/28"
"";"";"Kühlwasser Motor [Hka_Mw1.Temp.sbMotor]";"15/0/29"
"";"";"Dachs Eintritt [Hka_Mw1.Temp.sbGen]";"15/0/30"
"";"";"Motorabgastemperatur [Hka_Mw1.Temp.sAbgasMotor]";"15/0/31"
"";"";"Dachs-Abgastemperatur [Hka_Mw1.Temp.sAbgasHKA]";"15/0/32"
"";"";"Kapseltemperatur / Abgastemp. Kondenser [Hka_Mw1.Temp.sKapsel]";"15/0/33"
"";"";"Temperaturfühler MSR2 [Hka_Mw1.Temp.sbRegler]";"15/0/34"
